gene	Chimp.Mean.Expression	Chimp.Overdispersion	Chimp.theta.se	Chimp.Mean.Log2RPKM	Human.Mean.Expression	Human.Overdispersion	Human.theta.se	Human.Mean.Log2RPKM	Chimp.Residual	Human.Residual
ENSG00000170264	-21.5624924211153	0.136003393498209	2.0599561248809	-1.35991455990768	-21.0518211456754	0.111539218243374	2.26215968807327	-0.685467848219115	-0.917133418594509	-0.610153945385671
ENSG00000173163	-17.5863231525658	0.0308621355086957	8.62075545334051	4.4074991644327	-17.3121295478994	0.0517341790646803	4.49242852173935	4.74105593580351	-0.997787243308105	-0.421478012659682
ENSG00000170340	-18.641689299904	0.0977300418204092	2.63488931459642	2.83840114390109	-18.6284020465365	0.148096222117955	1.53507118287194	2.77092067075427	-0.0186662392189314	0.581380951448262
ENSG00000186889	-20.7735951417046	0.0576758915972318	5.30243213162164	-0.191195367551671	-20.9548394612867	0.0759772674069485	3.69272395407668	-0.492262924836267	-1.44039131172094	-0.951646189788057
ENSG00000115504	-19.4984137714201	0.0622190059985163	4.1828926978722	1.62837466034722	-19.5144509314295	0.0625768744306928	3.76140457444032	1.55624976425063	-0.785930003488616	-0.503570702649315
ENSG00000143951	-20.4605785309029	0.0400810316430518	6.96908669161246	0.253419140894664	-20.5322819772086	0.0432990838314126	5.78974891279784	0.106804667972994	-1.66357029719847	-1.31999107062217
ENSG00000014641	-14.7427476933658	0.203454883513536	1.22871872486763	8.37879917179718	-15.0605491098257	0.099325389797176	2.27332628374133	7.9523601427237	0.891348927698289	0.1245962487611
ENSG00000169764	-16.5357431446595	0.0301361317584976	8.54425038467261	5.92204007506304	-16.4419150353951	0.0871505741323457	2.59815591160112	5.96856694196012	-0.967278644622944	0.0881469325292312
ENSG00000143952	-18.982608564675	0.0940578173213147	2.73997730462935	2.34891955423089	-19.0455701849913	0.0271263104035357	8.9642548022335	2.25981888896175	-0.167969899926304	-1.19648726296151
ENSG00000197329	-19.059626525642	0.276286600423237	0.899270335599196	2.09978562152273	-19.1477015768967	0.266774653613335	0.830205262339634	1.93276258281262	0.881465712148513	1.06249285100823
ENSG00000119862	-19.5129006074728	0.216657703692639	1.21617017605505	1.51353273360856	-19.760076979339	0.125240238452463	2.1265216893775	1.18105000778937	0.455326677477709	0.0896492731970415
