P	gene
0.6372	ENSG00000127129
0.0756	ENSG00000127124
0.5817	ENSG00000198815
0.4888	ENSG00000177181
0.0865	ENSG00000066185
0.4419	ENSG00000127125
0.2237	ENSG00000186409
0.3724	ENSG00000171960
0.9277	ENSG00000117385
0.8993	ENSG00000164008
0.0042	ENSG00000177868
0.9127	ENSG00000164010
0.0971	ENSG00000164011
0.237	ENSG00000225099
0.2828	ENSG00000117394
0.5895	ENSG00000117395
0.9522	ENSG00000243710
0.1734	ENSG00000066056
0.0718	ENSG00000117399
0.6672	ENSG00000066322
0.8967	ENSG00000159479
0.0004	ENSG00000198198
0.2531	ENSG00000142949
0.1535	ENSG00000066135
0.2341	ENSG00000126091
0.1984	ENSG00000117408
0.6248	ENSG00000132768
0.0002	ENSG00000117410
0.2814	ENSG00000117411
0.0999	ENSG00000159214
0.1811	ENSG00000196517
0.1101	ENSG00000178028
0.1658	ENSG00000117419
0.5839	ENSG00000187147
0.1564	ENSG00000126106
0.0883	ENSG00000198520
0.0003	ENSG00000142945
0.7178	ENSG00000142937
0.2151	ENSG00000173846
0.1492	ENSG00000222009
0.6671	ENSG00000117425
0.0277	ENSG00000070785
0.105	ENSG00000126107
0.4549	ENSG00000126088
0.4847	ENSG00000162415
0.1044	ENSG00000132781
0.9596	ENSG00000132773
0.2339	ENSG00000070759
0.7939	ENSG00000132763
0.0182	ENSG00000117450
0.7353	ENSG00000117448
0.891	ENSG00000132780
0.943	ENSG00000159588
0.4327	ENSG00000159592
0.0085	ENSG00000159596
0.6738	ENSG00000197429
0.1516	ENSG00000086015
0.1342	ENSG00000117461
0.8183	ENSG00000117472
0.2956	ENSG00000085998
0.7938	ENSG00000132128
0.0962	ENSG00000173660
0.0007	ENSG00000117481
0.4645	ENSG00000117480
0.1009	ENSG00000079277
0.0653	ENSG00000142961
0.2769	ENSG00000123472
0.1334	ENSG00000159658
0.11	ENSG00000142973
0.8124	ENSG00000186377
0.0353	ENSG00000162367
0.1241	ENSG00000226252
0.1713	ENSG00000162368
0.0574	ENSG00000269113
0.9666	ENSG00000132122
0.2411	ENSG00000162373
0.2865	ENSG00000185104
0.4453	ENSG00000123080
0.0895	ENSG00000123091
0.1275	ENSG00000085831
0.7755	ENSG00000085832
0.265	ENSG00000117859
0.0016	ENSG00000232846
0.0564	ENSG00000078618
0.0209	ENSG00000117862
0.9585	ENSG00000198841
0.0013	ENSG00000134717
0.8056	ENSG00000157077
0.3386	ENSG00000154222
0.2293	ENSG00000134748
0.0414	ENSG00000134744
0.908	ENSG00000116157
0.3971	ENSG00000162377
0.3744	ENSG00000162378
0.1011	ENSG00000121310
0.6622	ENSG00000116171
0.0166	ENSG00000174348
0.6777	ENSG00000162383
0.8141	ENSG00000157184
0.0014	ENSG00000162384
0.7268	ENSG00000162385
0.0115	ENSG00000226754
0.0006	ENSG00000157193
0.7309	ENSG00000058804
0.0333	ENSG00000058799
0.5829	ENSG00000081870
0.5101	ENSG00000116212
0.0002	ENSG00000116209
0.9536	ENSG00000116205
0.1429	ENSG00000215883
0.0001	ENSG00000116221
0.7304	ENSG00000157216
0.4766	ENSG00000162390
0.477	ENSG00000162391
0.0006	ENSG00000184313
0.4438	ENSG00000243725
0.0045	ENSG00000162396
0.0004	ENSG00000116133
0.4634	ENSG00000169174
0.0112	ENSG00000162402
0.0028	ENSG00000162407
0.4058	ENSG00000162409
0.0035	ENSG00000187889
0.0002	ENSG00000173406
0.0511	ENSG00000162600
0.0001	ENSG00000162601
0.515	ENSG00000177606
0.0164	ENSG00000172456
0.2149	ENSG00000134709
0.016	ENSG00000134716
0.4155	ENSG00000162599
0.7314	ENSG00000162604
0.7621	ENSG00000132849
0.0362	ENSG00000240563
0.9149	ENSG00000132854
0.8225	ENSG00000162607
0.194	ENSG00000116641
0.0921	ENSG00000125703
0.4877	ENSG00000088035
0.0038	ENSG00000142856
0.1812	ENSG00000203965
0.0017	ENSG00000079739
0.4063	ENSG00000185483
0.0208	ENSG00000158966
0.8951	ENSG00000162437
0.3476	ENSG00000162434
0.4186	ENSG00000116675
0.0756	ENSG00000213625
0.9831	ENSG00000116678
0.6474	ENSG00000184588
0.1375	ENSG00000118473
0.5011	ENSG00000152760
0.3766	ENSG00000198160
0.1157	ENSG00000116704
0.0737	ENSG00000142864
0.5359	ENSG00000116717
0.4266	ENSG00000172380
0.0001	ENSG00000162595
0.1958	ENSG00000116729
0.0812	ENSG00000024526
0.4601	ENSG00000033122
0.2908	ENSG00000066557
0.7082	ENSG00000116754
0.101	ENSG00000118454
0.5281	ENSG00000116761
0.5257	ENSG00000050628
0.082	ENSG00000132485
0.0252	ENSG00000172260
0.7856	ENSG00000254685
0.262	ENSG00000116783
0.0501	ENSG00000259030
0.0013	ENSG00000116791
0.5938	ENSG00000162623
0.0481	ENSG00000137968
0.2827	ENSG00000117054
0.4561	ENSG00000137955
0.0471	ENSG00000184005
0.002	ENSG00000142892
0.8958	ENSG00000036549
0.1658	ENSG00000077254
0.4832	ENSG00000180488
0.6301	ENSG00000162614
0.2005	ENSG00000162613
0.4636	ENSG00000162616
0.0003	ENSG00000137960
0.0582	ENSG00000137959
0.3662	ENSG00000137965
0.6808	ENSG00000162618
0.4625	ENSG00000117114
0.0034	ENSG00000137941
0.8917	ENSG00000271576
0.9904	ENSG00000142875
0.1761	ENSG00000226970
0.0353	ENSG00000117133
0.0427	ENSG00000174021
0.6107	ENSG00000117151
0.0132	ENSG00000117155
0.2051	ENSG00000171517
0.2369	ENSG00000153898
0.0259	ENSG00000055732
0.9451	ENSG00000162643
0.3093	ENSG00000280099
0.6405	ENSG00000097096
0.1382	ENSG00000162642
0.8223	ENSG00000142867
0.0001	ENSG00000153904
0.4922	ENSG00000142871
0.4706	ENSG00000117174
0.4004	ENSG00000171502
0.26	ENSG00000122417
0.0967	ENSG00000097033
0.0004	ENSG00000183291
0.0191	ENSG00000153936
0.2736	ENSG00000267272
0.0715	ENSG00000143013
0.7941	ENSG00000065243
0.5686	ENSG00000137947
0.8308	ENSG00000137944
0.187	ENSG00000117226
0.1313	ENSG00000117228
0.0227	ENSG00000162645
0.0934	ENSG00000162654
0.0419	ENSG00000154451
0.8156	ENSG00000238081
0.075	ENSG00000225492
0.6733	ENSG00000197147
0.0391	ENSG00000171492
0.2782	ENSG00000162664
0.0013	ENSG00000233593
0.0601	ENSG00000122482
0.4705	ENSG00000162669
0.9384	ENSG00000097046
0.737	ENSG00000069702
0.1113	ENSG00000172031
0.1833	ENSG00000174842
0.617	ENSG00000122484
0.1282	ENSG00000162676
0.33	ENSG00000067208
0.4769	ENSG00000122406
0.3215	ENSG00000154511
0.8972	ENSG00000143033
0.5003	ENSG00000117500
0.7017	ENSG00000122483
0.0001	ENSG00000223745
0.1337	ENSG00000117505
0.125	ENSG00000137942
0.7603	ENSG00000137936
0.3932	ENSG00000067334
0.0181	ENSG00000023909
0.7374	ENSG00000137962
0.6476	ENSG00000117528
0.4481	ENSG00000117525
0.7996	ENSG00000224081
0.003	ENSG00000143036
0.0026	ENSG00000117519
0.0002	ENSG00000235501
0.0726	ENSG00000172339
0.4768	ENSG00000152078
0.1787	ENSG00000122481
0.7261	ENSG00000117569
0.2749	ENSG00000188641
0.3796	ENSG00000162627
0.7997	ENSG00000099260
0.0196	ENSG00000156869
0.4873	ENSG00000162688
0.5397	ENSG00000156875
0.1051	ENSG00000156876
0.1689	ENSG00000122435
0.1953	ENSG00000122477
0.8341	ENSG00000137992
0.8947	ENSG00000137996
0.0399	ENSG00000079335
0.5849	ENSG00000162692
0.0638	ENSG00000162694
0.6834	ENSG00000162695
0.3708	ENSG00000117543
0.2573	ENSG00000233184
0.7887	ENSG00000170989
0.006	ENSG00000185946
0.9007	ENSG00000198890
0.9266	ENSG00000134215
0.3508	ENSG00000085491
0.8764	ENSG00000162636
0.1398	ENSG00000134186
0.2632	ENSG00000116266
0.1396	ENSG00000121957
0.0001	ENSG00000121940
0.7728	ENSG00000085433
0.038	ENSG00000197780
0.0052	ENSG00000215717
0.0189	ENSG00000031698
0.1607	ENSG00000143126
0.3786	ENSG00000221986
0.245	ENSG00000134243
0.8358	ENSG00000143106
0.0664	ENSG00000143028
0.3868	ENSG00000162650
0.0237	ENSG00000174151
0.7381	ENSG00000181754
0.1427	ENSG00000065135
0.314	ENSG00000116337
0.6775	ENSG00000168765
0.0004	ENSG00000206077
0.4552	ENSG00000121634
0.6657	ENSG00000265107
0.8562	ENSG00000162836
0.8878	ENSG00000116128
0.0051	ENSG00000131778
0.0035	ENSG00000131781
0.3913	ENSG00000180867
0.9585	ENSG00000131791
0.3536	ENSG00000265491
0.931	ENSG00000186141
0.3978	ENSG00000186364
0.0711	ENSG00000131788
0.4798	ENSG00000198483
0.2396	ENSG00000143127
0.9564	ENSG00000131779
0.49	ENSG00000265241
0.3068	ENSG00000271601
0.0218	ENSG00000272031
0.1825	ENSG00000121851
0.0811	ENSG00000168509
0.3823	ENSG00000178104
0.1917	ENSG00000134250
0.0192	ENSG00000134240
0.3995	ENSG00000092621
0.8016	ENSG00000143067
0.0106	ENSG00000231365
0.1592	ENSG00000116874
0.5299	ENSG00000092607
0.4886	ENSG00000065183
0.052	ENSG00000196505
0.7337	ENSG00000183508
0.1593	ENSG00000198162
0.0039	ENSG00000134253
0.6501	ENSG00000116830
0.0963	ENSG00000134247
0.0245	ENSG00000116824
0.9047	ENSG00000143061
0.1407	ENSG00000116815
0.967	ENSG00000203865
0.2196	ENSG00000163399
0.0403	ENSG00000163393
0.3451	ENSG00000118729
0.5889	ENSG00000173218
0.3669	ENSG00000134259
0.5534	ENSG00000233730
0.1028	ENSG00000134198
0.0443	ENSG00000052723
0.3038	ENSG00000009307
0.8743	ENSG00000213281
0.4202	ENSG00000175984
0.54	ENSG00000116752
0.0064	ENSG00000197323
0.7923	ENSG00000116774
0.3976	ENSG00000163349
0.4774	ENSG00000118655
0.0547	ENSG00000134262
0.3443	ENSG00000226167
0.2677	ENSG00000188761
0.1336	ENSG00000134242
0.0554	ENSG00000081019
0.2432	ENSG00000116793
0.9548	ENSG00000081026
0.1093	ENSG00000198799
0.0006	ENSG00000226419
0.5239	ENSG00000155380
0.7155	ENSG00000155367
0.05	ENSG00000155366
0.2044	ENSG00000155363
0.0006	ENSG00000007341
0.1686	ENSG00000134245
0.0683	ENSG00000143079
0.3336	ENSG00000231437
0.0887	ENSG00000171385
0.5911	ENSG00000064703
0.1652	ENSG00000116473
0.277	ENSG00000121933
0.414	ENSG00000282608
0.9257	ENSG00000143110
0.1328	ENSG00000116459
0.0261	ENSG00000116455
0.2939	ENSG00000260948
0.4639	ENSG00000085465
0.1611	ENSG00000173947
0.0244	ENSG00000064886
0.4198	ENSG00000162777
0.0708	ENSG00000134255
0.0007	ENSG00000156171
0.9132	ENSG00000121931
0.6399	ENSG00000232811
0.0334	ENSG00000143119
0.0946	ENSG00000259834
0.1218	ENSG00000177301
0.3684	ENSG00000143125
0.6745	ENSG00000134248
0.1626	ENSG00000168679
0.6698	ENSG00000273373
0.0361	ENSG00000162775
0.1398	ENSG00000197106
0.1687	ENSG00000143093
0.8538	ENSG00000258634
0.7945	ENSG00000168710
0.0737	ENSG00000184371
0.0461	ENSG00000134184
0.3292	ENSG00000179571
0.5228	ENSG00000184678
0.4005	ENSG00000184260
0.6094	ENSG00000178096
0.6861	ENSG00000159164
0.4216	ENSG00000143368
0.037	ENSG00000014914
0.7122	ENSG00000264522
0.27	ENSG00000136631
0.0056	ENSG00000023902
0.1104	ENSG00000143401
0.5754	ENSG00000118298
0.5912	ENSG00000117362
0.6746	ENSG00000118292
0.8621	ENSG00000159208
0.4721	ENSG00000266472
0.1928	ENSG00000117360
0.3444	ENSG00000163125
0.6766	ENSG00000143374
0.1263	ENSG00000143369
0.8523	ENSG00000143382
0.018	ENSG00000143384
0.4871	ENSG00000143420
0.8812	ENSG00000143457
0.6262	ENSG00000163131
0.3548	ENSG00000143387
0.5868	ENSG00000143437
0.0015	ENSG00000143379
0.405	ENSG00000143418
0.4649	ENSG00000143409
0.7986	ENSG00000143363
0.08	ENSG00000163141
0.0002	ENSG00000143443
0.0088	ENSG00000197622
0.5644	ENSG00000213190
0.0318	ENSG00000143458
0.2346	ENSG00000261168
0.1755	ENSG00000143434
0.7947	ENSG00000163155
0.9035	ENSG00000163156
0.4266	ENSG00000163159
0.0008	ENSG00000143398
0.3666	ENSG00000159352
0.4222	ENSG00000143373
0.3011	ENSG00000143393
0.042	ENSG00000143390
0.3037	ENSG00000143416
0.0145	ENSG00000159377
0.8168	ENSG00000143442
0.4777	ENSG00000143375
0.0127	ENSG00000143367
0.0081	ENSG00000143376
0.6176	ENSG00000143436
0.0208	ENSG00000182134
0.4375	ENSG00000213171
0.735	ENSG00000143365
0.0855	ENSG00000159445
0.2325	ENSG00000197747
0.5628	ENSG00000163191
0.8153	ENSG00000237975
