P	gene
0.3336	ENSG00000108592
0.881	ENSG00000087191
0.4506	ENSG00000108604
0.1987	ENSG00000007312
0.2014	ENSG00000224383
0.5819	ENSG00000108622
0.0713	ENSG00000178607
0.4826	ENSG00000266402
0.1612	ENSG00000199753
0.2394	ENSG00000136478
0.4294	ENSG00000261371
0.9697	ENSG00000271605
0.5865	ENSG00000256525
0.1528	ENSG00000108654
0.8157	ENSG00000258890
0.3397	ENSG00000108854
0.8513	ENSG00000214174
0.4691	ENSG00000120063
0.8725	ENSG00000108370
0.0052	ENSG00000168646
0.0001	ENSG00000154240
0.2459	ENSG00000154229
0.1836	ENSG00000198265
0.0016	ENSG00000197170
0.4702	ENSG00000154217
0.256	ENSG00000130935
0.057	ENSG00000182481
0.9662	ENSG00000277476
0.7985	ENSG00000274712
0.0047	ENSG00000196704
0.3801	ENSG00000141337
0.4602	ENSG00000070540
0.2525	ENSG00000108946
0.2893	ENSG00000108950
0.714	ENSG00000141338
0.7291	ENSG00000154258
0.0649	ENSG00000154262
0.8878	ENSG00000154263
0.0259	ENSG00000154265
0.4243	ENSG00000267653
0.933	ENSG00000267194
0.5015	ENSG00000267365
0.2783	ENSG00000123700
0.5081	ENSG00000234899
0.9252	ENSG00000125398
0.0529	ENSG00000133195
0.0102	ENSG00000166685
0.496	ENSG00000133193
0.0774	ENSG00000141219
0.2889	ENSG00000179604
0.013	ENSG00000069188
0.1134	ENSG00000172809
0.8887	ENSG00000141540
0.3743	ENSG00000196169
0.9752	ENSG00000170412
0.0254	ENSG00000167851
0.1009	ENSG00000172794
0.4091	ENSG00000186074
0.9592	ENSG00000109062
0.0351	ENSG00000109065
0.1025	ENSG00000109066
0.0008	ENSG00000161509
0.0004	ENSG00000161513
0.644	ENSG00000167861
0.1341	ENSG00000109089
0.1498	ENSG00000167862
0.5377	ENSG00000180901
0.0579	ENSG00000167863
0.2886	ENSG00000170190
0.0557	ENSG00000125458
0.985	ENSG00000189159
0.0001	ENSG00000188612
0.414	ENSG00000125450
0.0279	ENSG00000125447
0.2539	ENSG00000125445
0.4753	ENSG00000125457
0.0598	ENSG00000125454
0.3643	ENSG00000177885
0.4002	ENSG00000177728
0.8371	ENSG00000177303
0.1236	ENSG00000182173
0.8478	ENSG00000073350
0.0011	ENSG00000266714
0.8313	ENSG00000108469
0.0003	ENSG00000204323
0.2287	ENSG00000161526
0.1273	ENSG00000132470
0.9621	ENSG00000108479
0.0642	ENSG00000132475
0.1462	ENSG00000132478
0.0053	ENSG00000092929
0.3656	ENSG00000132471
0.0015	ENSG00000132481
0.0006	ENSG00000267801
0.5493	ENSG00000141569
0.0387	ENSG00000204316
0.0959	ENSG00000188878
0.6324	ENSG00000161533
0.6084	ENSG00000257949
0.0102	ENSG00000261408
0.0025	ENSG00000250506
0.8685	ENSG00000167881
0.0995	ENSG00000182473
0.0648	ENSG00000279382
0.2108	ENSG00000141576
0.0501	ENSG00000185262
0.4817	ENSG00000129646
0.9399	ENSG00000161542
0.6296	ENSG00000176170
0.14	ENSG00000175931
0.0073	ENSG00000129667
0.1194	ENSG00000161544
0.1782	ENSG00000214140
0.0001	ENSG00000163597
0.3314	ENSG00000070731
0.1189	ENSG00000070526
0.156	ENSG00000182534
0.2111	ENSG00000070495
0.0007	ENSG00000181038
0.2833	ENSG00000161547
0.7346	ENSG00000092931
0.3727	ENSG00000234912
0.2108	ENSG00000129657
0.5544	ENSG00000184640
0.0665	ENSG00000078687
0.0362	ENSG00000204282
0.066	ENSG00000141524
0.5006	ENSG00000167895
0.0109	ENSG00000108639
0.1109	ENSG00000167900
0.2592	ENSG00000183077
0.0566	ENSG00000089685
0.1077	ENSG00000184557
0.4871	ENSG00000087157
0.9644	ENSG00000187775
0.4667	ENSG00000108669
0.8069	ENSG00000055483
0.1403	ENSG00000035862
0.0001	ENSG00000108679
0.2487	ENSG00000171302
0.1551	ENSG00000265096
0.6664	ENSG00000173918
0.3227	ENSG00000167280
0.4581	ENSG00000167281
0.212	ENSG00000173894
0.1956	ENSG00000141570
0.5074	ENSG00000141582
0.2149	ENSG00000167291
0.5884	ENSG00000141519
0.3094	ENSG00000171298
0.0551	ENSG00000141543
0.3272	ENSG00000141527
0.926	ENSG00000262580
0.3015	ENSG00000181523
0.015	ENSG00000181045
0.0019	ENSG00000173821
0.0104	ENSG00000173818
0.1014	ENSG00000171246
0.0002	ENSG00000141564
0.8108	ENSG00000176108
0.0411	ENSG00000226137
0.8445	ENSG00000175866
0.4381	ENSG00000181409
0.4642	ENSG00000141577
0.0311	ENSG00000167302
0.3137	ENSG00000260005
0.0004	ENSG00000224877
0.6296	ENSG00000157637
0.2476	ENSG00000262877
0.5809	ENSG00000266074
0.2738	ENSG00000184009
0.0016	ENSG00000185504
0.2572	ENSG00000182446
0.5264	ENSG00000204237
0.7295	ENSG00000185298
0.6069	ENSG00000185359
0.4651	ENSG00000262049
0.6972	ENSG00000262814
0.8458	ENSG00000183048
0.913	ENSG00000215644
0.0421	ENSG00000225663
0.1055	ENSG00000185624
0.8539	ENSG00000141522
0.7702	ENSG00000183684
0.0451	ENSG00000141552
0.8054	ENSG00000185813
0.0193	ENSG00000187531
0.6467	ENSG00000197063
0.0428	ENSG00000183010
0.8813	ENSG00000185105
0.8421	ENSG00000169696
0.0219	ENSG00000169689
0.9559	ENSG00000169683
0.0255	ENSG00000169750
0.7788	ENSG00000169738
0.4398	ENSG00000169727
0.4908	ENSG00000169718
0.7685	ENSG00000169710
0.9592	ENSG00000176155
0.8069	ENSG00000141526
0.8104	ENSG00000141551
0.3272	ENSG00000260563
0.0701	ENSG00000141574
0.7995	ENSG00000181408
0.4967	ENSG00000181396
0.9618	ENSG00000169660
0.0348	ENSG00000178927
0.0003	ENSG00000141562
0.4974	ENSG00000141568
0.7532	ENSG00000141580
0.1122	ENSG00000141542
0.1768	ENSG00000167363
0.7831	ENSG00000141556
NA	ENSG00000108448
NA	ENSG00000181856
0.4548	ENSG00000101654
0.6726	ENSG00000177150
0.3775	ENSG00000168675
0.0178	ENSG00000101639
0.3268	ENSG00000085415
0.0987	ENSG00000175354
0.3545	ENSG00000128789
0.1524	ENSG00000134278
0.1675	ENSG00000141385
0.2385	ENSG00000176014
0.324	ENSG00000176194
0.0354	ENSG00000267533
0.3957	ENSG00000141401
0.0565	ENSG00000154889
0.0611	ENSG00000141404
0.0153	ENSG00000255112
0.5005	ENSG00000154864
0.7559	ENSG00000134265
0.316	ENSG00000154856
0.0001	ENSG00000101558
0.4349	ENSG00000168461
0.1959	ENSG00000154845
0.4396	ENSG00000017797
0.0437	ENSG00000128791
0.5929	ENSG00000101745
0.6264	ENSG00000266053
0.7823	ENSG00000178127
0.8376	ENSG00000168502
0.0015	ENSG00000206418
0.0667	ENSG00000173482
0.0602	ENSG00000265413
0.1431	ENSG00000101680
0.7402	ENSG00000088756
0.6695	ENSG00000154655
0.7665	ENSG00000082397
0.6512	ENSG00000198081
0.238	ENSG00000263753
0.7306	ENSG00000262001
0.003	ENSG00000177337
0.9833	ENSG00000177426
0.2308	ENSG00000118680
0.5057	ENSG00000264235
0.5179	ENSG00000101608
0.3703	ENSG00000101605
0.178	ENSG00000101577
0.176	ENSG00000132205
0.0359	ENSG00000101596
0.8849	ENSG00000080986
0.5945	ENSG00000101574
0.4037	ENSG00000176105
0.0123	ENSG00000132199
0.2814	ENSG00000176890
0.3622	ENSG00000158270
0.3426	ENSG00000079134
0.9268	ENSG00000101557
0.1207	ENSG00000067900
0.5076	ENSG00000141449
0.9099	ENSG00000141446
0.0495	ENSG00000167088
0.2403	ENSG00000158201
0.4448	ENSG00000101752
0.2102	ENSG00000265142
0.0603	ENSG00000266010
0.8855	ENSG00000141448
0.2167	ENSG00000101773
0.3259	ENSG00000134508
0.322	ENSG00000101782
0.233	ENSG00000141452
0.3099	ENSG00000141458
0.6064	ENSG00000154065
0.0014	ENSG00000053747
0.6208	ENSG00000168234
0.9531	ENSG00000141447
0.9176	ENSG00000154059
0.9432	ENSG00000198795
0.1565	ENSG00000141380
0.1138	ENSG00000141384
0.195	ENSG00000134504
0.4626	ENSG00000171885
0.2485	ENSG00000154080
0.0802	ENSG00000170558
0.0045	ENSG00000134755
0.5659	ENSG00000134765
0.4291	ENSG00000046604
0.8617	ENSG00000118276
0.9826	ENSG00000153339
0.7917	ENSG00000101695
0.2819	ENSG00000141441
0.7271	ENSG00000141431
0.1193	ENSG00000134769
0.6286	ENSG00000166974
0.7531	ENSG00000186812
0.8736	ENSG00000186814
0.2535	ENSG00000274184
0.0545	ENSG00000268573
0.1545	ENSG00000257267
0.1656	ENSG00000172466
0.5231	ENSG00000153391
0.0263	ENSG00000141429
0.0027	ENSG00000141428
0.0556	ENSG00000141425
0.2869	ENSG00000141424
0.2716	ENSG00000134759
0.6812	ENSG00000134775
0.0199	ENSG00000134779
0.0507	ENSG00000150477
0.052	ENSG00000078142
0.148	ENSG00000132872
0.602	ENSG00000152217
0.2199	ENSG00000141469
0.0003	ENSG00000152223
0.8337	ENSG00000152229
0.0724	ENSG00000152234
0.2068	ENSG00000152240
0.5415	ENSG00000152242
0.1343	ENSG00000141622
0.7908	ENSG00000167210
0.1416	ENSG00000101638
0.0887	ENSG00000270112
0.0011	ENSG00000078043
0.6787	ENSG00000167220
0.0001	ENSG00000134049
0.2004	ENSG00000175387
0.2394	ENSG00000184828
0.0439	ENSG00000134030
0.0376	ENSG00000101665
0.7606	ENSG00000141627
0.1876	ENSG00000177576
0.176	ENSG00000265681
0.3823	ENSG00000101670
0.0231	ENSG00000167315
0.0375	ENSG00000267322
0.9648	ENSG00000167306
0.3134	ENSG00000141644
0.1166	ENSG00000154832
0.3584	ENSG00000141639
0.9686	ENSG00000134042
0.2561	ENSG00000082212
0.5299	ENSG00000141642
0.7797	ENSG00000141646
0.6706	ENSG00000176624
0.093	ENSG00000134046
0.4648	ENSG00000101751
0.8417	ENSG00000166845
0.0974	ENSG00000166510
0.7379	ENSG00000196628
0.2425	ENSG00000091164
0.0001	ENSG00000091157
0.7432	ENSG00000066926
0.1938	ENSG00000134440
0.1032	ENSG00000081923
0.3513	ENSG00000049759
0.8608	ENSG00000198796
0.4321	ENSG00000172175
0.0001	ENSG00000074657
0.6591	ENSG00000166562
0.0084	ENSG00000074695
0.5852	ENSG00000183287
0.217	ENSG00000141682
0.6379	ENSG00000267279
0.3122	ENSG00000197563
0.3688	ENSG00000134444
0.7035	ENSG00000141655
0.7664	ENSG00000141664
0.8164	ENSG00000081913
0.4321	ENSG00000171791
0.6315	ENSG00000119537
0.0002	ENSG00000267390
0.6846	ENSG00000119541
0.765	ENSG00000071991
0.7424	ENSG00000171451
0.0006	ENSG00000166479
0.0012	ENSG00000150636
0.1543	ENSG00000206052
0.3455	ENSG00000176225
0.0272	ENSG00000170677
0.2073	ENSG00000266304
0.6924	ENSG00000075336
0.0585	ENSG00000166347
0.8541	ENSG00000187773
0.0564	ENSG00000133313
0.3851	ENSG00000264247
0.1971	ENSG00000215421
0.0018	ENSG00000180011
0.3795	ENSG00000179981
0.1407	ENSG00000101493
0.857	ENSG00000130856
0.0062	ENSG00000197971
0.421	ENSG00000278330
0.0168	ENSG00000166377
0.745	ENSG00000131196
0.692	ENSG00000267287
0.8013	ENSG00000060069
0.0948	ENSG00000122490
0.7879	ENSG00000226742
0.0028	ENSG00000141759
0.0001	ENSG00000101546
0.9936	ENSG00000101544
0.2864	ENSG00000267270
0.3584	ENSG00000278000
0.4219	ENSG00000141934
0.0801	ENSG00000105556
0.0339	ENSG00000183186
0.0009	ENSG00000129946
0.0204	ENSG00000141933
0.2861	ENSG00000099804
0.0845	ENSG00000172270
0.919	ENSG00000099821
0.7936	ENSG00000070423
0.1073	ENSG00000070404
0.4431	ENSG00000099864
0.0572	ENSG00000011304
0.6756	ENSG00000197766
0.2325	ENSG00000116017
0.1923	ENSG00000065268
0.8728	ENSG00000182087
0.1129	ENSG00000064687
0.0885	ENSG00000180448
0.0004	ENSG00000099817
0.4839	ENSG00000167468
0.1954	ENSG00000064932
0.0804	ENSG00000118046
0.2474	ENSG00000099625
0.7603	ENSG00000099624
0.1306	ENSG00000167470
0.2918	ENSG00000099622
0.0288	ENSG00000228300
0.0831	ENSG00000160953
0.1728	ENSG00000115286
0.0292	ENSG00000130005
0.1332	ENSG00000071626
0.1398	ENSG00000115268
0.0111	ENSG00000115266
0.2002	ENSG00000267317
0.079	ENSG00000115257
0.833	ENSG00000185761
0.8333	ENSG00000181588
0.0057	ENSG00000071655
0.0001	ENSG00000127540
0.7181	ENSG00000071564
0.6753	ENSG00000079313
0.1609	ENSG00000129911
0.1395	ENSG00000261526
0.166	ENSG00000227500
0.3146	ENSG00000133275
0.6716	ENSG00000133243
0.4136	ENSG00000099875
0.1816	ENSG00000172081
0.0238	ENSG00000099840
0.0033	ENSG00000065000
0.9822	ENSG00000104885
0.0528	ENSG00000104886
0.2527	ENSG00000104897
0.1909	ENSG00000104904
0.0299	ENSG00000130332
0.8	ENSG00000005206
0.0353	ENSG00000178297
0.7529	ENSG00000099800
0.2581	ENSG00000176619
0.1672	ENSG00000099860
0.0453	ENSG00000176533
0.3139	ENSG00000176490
0.133	ENSG00000261342
0.5234	ENSG00000141873
0.02	ENSG00000104969
0.2432	ENSG00000172006
0.0009	ENSG00000186300
0.1815	ENSG00000171970
0.5554	ENSG00000175691
0.5158	ENSG00000104953
0.4456	ENSG00000065717
0.5571	ENSG00000104964
0.7876	ENSG00000088256
0.2112	ENSG00000060558
0.2778	ENSG00000125910
0.5763	ENSG00000125912
0.2241	ENSG00000141905
0.2377	ENSG00000129932
0.3289	ENSG00000105325
0.1036	ENSG00000161091
0.7511	ENSG00000064961
0.085	ENSG00000006638
0.023	ENSG00000226800
0.043	ENSG00000105298
0.0049	ENSG00000186111
0.1061	ENSG00000011132
0.0778	ENSG00000183617
0.4107	ENSG00000007264
0.7389	ENSG00000167654
0.4262	ENSG00000167657
0.071	ENSG00000167658
0.9011	ENSG00000105229
0.0183	ENSG00000178951
0.0802	ENSG00000126934
0.1697	ENSG00000077463
0.0876	ENSG00000105248
0.1879	ENSG00000105251
0.0179	ENSG00000178078
0.1514	ENSG00000008382
0.532	ENSG00000141985
0.2645	ENSG00000167670
0.0017	ENSG00000167671
0.4221	ENSG00000167674
0.6921	ENSG00000167676
0.9369	ENSG00000267385
0.233	ENSG00000171236
0.1947	ENSG00000167680
0.8494	ENSG00000185361
0.5436	ENSG00000074842
0.6472	ENSG00000142002
0.0076	ENSG00000141965
0.1195	ENSG00000127666
0.3753	ENSG00000105355
0.0001	ENSG00000127663
0.5577	ENSG00000130254
0.2759	ENSG00000160633
0.0089	ENSG00000174917
0.3233	ENSG00000167733
0.0018	ENSG00000196365
0.1668	ENSG00000212123
0.0312	ENSG00000141994
0.7421	ENSG00000171119
0.0182	ENSG00000174886
0.621	ENSG00000105519
0.6558	ENSG00000031823
0.0021	ENSG00000087903
0.946	ENSG00000130382
0.2402	ENSG00000125656
0.4343	ENSG00000125652
0.9366	ENSG00000125651
0.1476	ENSG00000088247
0.2217	ENSG00000125648
0.0567	ENSG00000205744
0.17	ENSG00000104833
0.4717	ENSG00000125735
0.7569	ENSG00000125730
0.1679	ENSG00000276980
0.3725	ENSG00000125734
0.1959	ENSG00000125733
0.8132	ENSG00000125731
0.2093	ENSG00000141968
0.4316	ENSG00000174837
0.0026	ENSG00000130544
0.4367	ENSG00000171105
0.5361	ENSG00000104880
0.0071	ENSG00000198816
0.5137	ENSG00000090674
0.011	ENSG00000032444
0.6306	ENSG00000076826
0.1863	ENSG00000076924
0.1864	ENSG00000229833
0.5671	ENSG00000076944
0.1357	ENSG00000104918
0.3835	ENSG00000183019
0.0001	ENSG00000181029
0.7719	ENSG00000182566
0.3398	ENSG00000142459
0.8066	ENSG00000076984
0.0119	ENSG00000260001
0.3479	ENSG00000104976
0.5466	ENSG00000104980
0.391	ENSG00000066044
0.233	ENSG00000142449
0.0096	ENSG00000090661
0.8459	ENSG00000167775
0.4938	ENSG00000267855
0.0556	ENSG00000233927
0.1762	ENSG00000186994
0.9385	ENSG00000167772
0.2075	ENSG00000269386
0.0012	ENSG00000185236
0.3671	ENSG00000099785
0.3981	ENSG00000099783
0.3656	ENSG00000133250
0.2851	ENSG00000142347
0.0499	ENSG00000142303
0.4941	ENSG00000167785
0.7584	ENSG00000181143
0.0647	ENSG00000130803
0.057	ENSG00000174652
0.0097	ENSG00000278611
0.1636	ENSG00000197961
0.1936	ENSG00000267106
0.0002	ENSG00000196605
0.002	ENSG00000127452
0.0029	ENSG00000198258
0.0842	ENSG00000127445
0.2253	ENSG00000105088
0.8438	ENSG00000080573
0.1255	ENSG00000267650
0.0727	ENSG00000130813
0.3214	ENSG00000130810
0.829	ENSG00000244165
0.4987	ENSG00000130811
0.0171	ENSG00000105364
0.3574	ENSG00000090339
0.0562	ENSG00000267607
0.0088	ENSG00000105376
0.0262	ENSG00000220201
0.198	ENSG00000267673
0.8106	ENSG00000161847
0.0004	ENSG00000105397
0.825	ENSG00000105401
0.3318	ENSG00000065989
0.0889	ENSG00000079999
0.5659	ENSG00000180739
0.2343	ENSG00000130734
0.7267	ENSG00000129347
0.329	ENSG00000129355
0.7292	ENSG00000129353
0.1128	ENSG00000129351
0.5702	ENSG00000213339
0.035	ENSG00000079805
0.8691	ENSG00000099203
0.6822	ENSG00000142453
0.3672	ENSG00000130733
0.7088	ENSG00000142444
0.0335	ENSG00000127616
0.231	ENSG00000130164
0.1685	ENSG00000161888
0.8929	ENSG00000197256
0.0292	ENSG00000130158
0.0001	ENSG00000267082
0.3206	ENSG00000130173
0.8354	ENSG00000105514
0.7862	ENSG00000105518
0.4262	ENSG00000183401
0.0204	ENSG00000105520
0.4112	ENSG00000187266
0.1312	ENSG00000205517
0.6299	ENSG00000130175
0.664	ENSG00000161914
0.1428	ENSG00000130159
0.5909	ENSG00000130176
0.0625	ENSG00000130165
0.0392	ENSG00000198551
0.1066	ENSG00000102575
0.1781	ENSG00000197933
0.6228	ENSG00000197044
0.4815	ENSG00000177599
0.1754	ENSG00000171295
0.4477	ENSG00000171291
0.7195	ENSG00000196757
0.701	ENSG00000219665
0.8228	ENSG00000197647
0.9888	ENSG00000196646
0.3104	ENSG00000197857
0.495	ENSG00000188868
0.1032	ENSG00000198342
0.0311	ENSG00000196466
0.5261	ENSG00000213290
0.5602	ENSG00000104774
0.0126	ENSG00000105583
0.1953	ENSG00000123154
0.022	ENSG00000095059
0.6045	ENSG00000132004
0.162	ENSG00000105576
0.2171	ENSG00000123144
0.0058	ENSG00000198356
0.3813	ENSG00000095066
0.6933	ENSG00000171223
0.0033	ENSG00000167815
0.1604	ENSG00000104889
0.2269	ENSG00000105612
0.6061	ENSG00000105607
0.1701	ENSG00000179115
0.6717	ENSG00000179218
0.034	ENSG00000179262
0.0001	ENSG00000179271
0.4416	ENSG00000179284
0.1346	ENSG00000008441
0.386	ENSG00000104903
0.1196	ENSG00000104907
0.5649	ENSG00000160877
0.7166	ENSG00000104915
0.0087	ENSG00000160888
0.3744	ENSG00000141837
0.6061	ENSG00000104957
0.3667	ENSG00000037757
0.1305	ENSG00000104979
0.9722	ENSG00000132003
0.0025	ENSG00000267519
0.7575	ENSG00000132024
0.3941	ENSG00000132000
0.4859	ENSG00000132017
0.2141	ENSG00000132005
0.5249	ENSG00000104998
0.0205	ENSG00000141854
0.9875	ENSG00000141858
0.2573	ENSG00000072062
0.0481	ENSG00000105011
0.0315	ENSG00000267169
0.8868	ENSG00000072071
0.1534	ENSG00000123143
0.4814	ENSG00000123159
0.7026	ENSG00000099797
0.199	ENSG00000132002
0.0134	ENSG00000099795
0.2984	ENSG00000105143
0.0024	ENSG00000105137
0.4933	ENSG00000105135
0.6779	ENSG00000074181
0.4756	ENSG00000141867
0.2688	ENSG00000105127
0.3813	ENSG00000011243
0.3624	ENSG00000279716
0.2788	ENSG00000011451
0.0593	ENSG00000105122
0.2032	ENSG00000186204
0.6692	ENSG00000267594
0.4235	ENSG00000167460
0.5632	ENSG00000167461
0.1174	ENSG00000196684
0.3858	ENSG00000105058
0.2556	ENSG00000072958
0.3113	ENSG00000127528
0.0009	ENSG00000127527
0.0114	ENSG00000280332
0.8012	ENSG00000105072
0.0196	ENSG00000085872
0.0192	ENSG00000127526
0.1631	ENSG00000105085
0.8796	ENSG00000214046
0.5187	ENSG00000269044
0.1315	ENSG00000072954
0.3491	ENSG00000127511
0.7239	ENSG00000127533
0.0235	ENSG00000160111
0.0856	ENSG00000131351
0.0825	ENSG00000099331
0.1126	ENSG00000053501
0.108	ENSG00000099330
0.8873	ENSG00000160113
0.1	ENSG00000130307
0.6742	ENSG00000105393
0.0566	ENSG00000127220
0.0006	ENSG00000130312
0.9359	ENSG00000130311
0.9599	ENSG00000074855
0.558	ENSG00000130299
0.0725	ENSG00000130300
0.195	ENSG00000269720
0.1881	ENSG00000130303
0.0159	ENSG00000141971
0.2834	ENSG00000130304
0.0334	ENSG00000130313
0.1422	ENSG00000130309
0.8553	ENSG00000130477
0.4435	ENSG00000130479
0.109	ENSG00000130475
0.5557	ENSG00000248099
0.3617	ENSG00000105639
0.0775	ENSG00000105640
0.0881	ENSG00000007080
0.0193	ENSG00000105642
0.9933	ENSG00000105643
0.0612	ENSG00000099308
0.6124	ENSG00000105647
0.7345	ENSG00000216490
0.6897	ENSG00000254858
0.7437	ENSG00000105649
0.3608	ENSG00000105650
0.0001	ENSG00000130518
0.7036	ENSG00000130522
0.0186	ENSG00000130520
0.8291	ENSG00000130517
0.1486	ENSG00000130513
0.6324	ENSG00000175489
0.2332	ENSG00000105656
0.6654	ENSG00000105701
0.5262	ENSG00000105700
0.1975	ENSG00000221983
0.3034	ENSG00000006016
0.01	ENSG00000006015
0.0153	ENSG00000105696
0.1319	ENSG00000167487
0.2576	ENSG00000105662
0.0335	ENSG00000105664
0.0415	ENSG00000005007
0.0147	ENSG00000105669
0.1186	ENSG00000105671
0.7594	ENSG00000051128
0.0165	ENSG00000064607
0.5858	ENSG00000105676
0.2836	ENSG00000181035
0.2524	ENSG00000064545
0.0535	ENSG00000213999
0.32	ENSG00000254901
0.5905	ENSG00000064490
0.6052	ENSG00000184162
0.6993	ENSG00000105705
0.5398	ENSG00000129933
0.6755	ENSG00000167491
0.4084	ENSG00000064547
0.8554	ENSG00000089639
0.1674	ENSG00000105726
0.9718	ENSG00000181896
0.2266	ENSG00000105708
0.1664	ENSG00000266904
0.1277	ENSG00000081665
0.3145	ENSG00000197124
0.0008	ENSG00000256229
0.723	ENSG00000188171
0.4589	ENSG00000105750
0.0001	ENSG00000160352
0.2678	ENSG00000196705
0.1281	ENSG00000172687
0.0003	ENSG00000196268
0.3973	ENSG00000197013
0.3732	ENSG00000198521
0.1236	ENSG00000279377
0.0641	ENSG00000269837
0.0583	ENSG00000167232
0.4273	ENSG00000197372
0.4869	ENSG00000213967
0.1866	ENSG00000213096
0.4364	ENSG00000261824
0.2759	ENSG00000267575
0.9851	ENSG00000169021
0.5425	ENSG00000105171
0.2881	ENSG00000166289
0.4878	ENSG00000131943
0.0501	ENSG00000105176
0.7092	ENSG00000198597
0.1971	ENSG00000121297
0.4238	ENSG00000168813
0.2902	ENSG00000178904
0.5004	ENSG00000105185
0.1125	ENSG00000105186
0.3294	ENSG00000186326
0.5666	ENSG00000213965
0.6209	ENSG00000173809
0.002	ENSG00000121289
0.3165	ENSG00000076650
0.1985	ENSG00000130881
0.2789	ENSG00000130876
0.6987	ENSG00000245848
0.7229	ENSG00000153879
0.9893	ENSG00000124299
0.3524	ENSG00000153885
0.2525	ENSG00000257103
0.1109	ENSG00000166398
0.394	ENSG00000105220
0.5583	ENSG00000126249
0.095	ENSG00000126261
0.8597	ENSG00000142279
0.0054	ENSG00000089335
0.0787	ENSG00000274104
0.5474	ENSG00000197841
0.0105	ENSG00000153896
0.0333	ENSG00000168661
0.7527	ENSG00000280106
0.1784	ENSG00000180884
0.5539	ENSG00000089351
0.481	ENSG00000105711
0.3699	ENSG00000105707
0.3502	ENSG00000153902
0.0231	ENSG00000279619
0.9775	ENSG00000266964
0.3	ENSG00000089327
0.177	ENSG00000105699
0.9099	ENSG00000105698
0.8703	ENSG00000105697
0.1903	ENSG00000012124
0.2677	ENSG00000161249
0.0639	ENSG00000236144
0.0086	ENSG00000105677
0.6118	ENSG00000283907
0.2473	ENSG00000249115
0.0768	ENSG00000126254
0.143	ENSG00000126267
0.8576	ENSG00000272333
0.4445	ENSG00000126246
0.2463	ENSG00000161265
0.0395	ENSG00000205155
0.0107	ENSG00000267796
0.446	ENSG00000004776
0.0013	ENSG00000167595
0.449	ENSG00000004777
0.7487	ENSG00000105290
0.2067	ENSG00000167604
0.5689	ENSG00000011600
0.5957	ENSG00000126243
0.0006	ENSG00000205138
0.0725	ENSG00000181392
0.2324	ENSG00000239382
0.1376	ENSG00000105270
0.0098	ENSG00000161277
0.4956	ENSG00000075702
0.4929	ENSG00000105258
0.0004	ENSG00000105254
0.2307	ENSG00000126247
0.4449	ENSG00000161281
0.2321	ENSG00000167635
0.0004	ENSG00000226686
0.2978	ENSG00000196967
0.636	ENSG00000197050
0.2851	ENSG00000198453
0.0054	ENSG00000251247
0.8354	ENSG00000197863
0.8549	ENSG00000189042
0.5781	ENSG00000161298
0.0242	ENSG00000233527
0.0005	ENSG00000186020
0.0899	ENSG00000254004
0.3437	ENSG00000186017
0.1671	ENSG00000181007
0.8198	ENSG00000142065
0.1634	ENSG00000232677
0.1479	ENSG00000181666
0.3107	ENSG00000189164
0.5926	ENSG00000196437
0.157	ENSG00000171827
0.1049	ENSG00000266916
0.0192	ENSG00000188227
0.312	ENSG00000180458
0.3298	ENSG00000267470
0.17	ENSG00000180479
0.606	ENSG00000171817
0.0911	ENSG00000120784
0.1436	ENSG00000196381
0.2748	ENSG00000198182
0.364	ENSG00000267152
0.0001	ENSG00000267640
0.0068	ENSG00000105738
0.4143	ENSG00000011332
0.0905	ENSG00000167642
0.4103	ENSG00000167641
0.2288	ENSG00000167644
0.0195	ENSG00000167645
0.4827	ENSG00000130244
0.3038	ENSG00000196218
0.0768	ENSG00000104814
0.9883	ENSG00000178982
0.2286	ENSG00000130402
0.1351	ENSG00000267892
0.2932	ENSG00000104824
0.0912	ENSG00000187994
0.8493	ENSG00000068903
0.0485	ENSG00000104825
0.7256	ENSG00000104835
0.507	ENSG00000128626
0.3537	ENSG00000269190
0.2587	ENSG00000161243
0.3958	ENSG00000130669
0.4001	ENSG00000130755
0.304	ENSG00000179134
0.6242	ENSG00000006712
0.5565	ENSG00000063322
0.0906	ENSG00000128016
0.902	ENSG00000090924
0.9007	ENSG00000105193
0.4997	ENSG00000196235
0.3134	ENSG00000105197
0.7786	ENSG00000276445
0.9754	ENSG00000105204
0.7839	ENSG00000105202
0.6699	ENSG00000275395
0.4455	ENSG00000013275
0.0124	ENSG00000187187
0.1255	ENSG00000197782
0.0601	ENSG00000130758
0.085	ENSG00000105219
0.008	ENSG00000105221
0.0481	ENSG00000160392
0.0617	ENSG00000105223
0.6208	ENSG00000279759
0.1213	ENSG00000160396
0.7548	ENSG00000105227
0.1954	ENSG00000197019
0.0159	ENSG00000167565
0.0133	ENSG00000090013
0.1249	ENSG00000160460
0.0048	ENSG00000160410
0.005	ENSG00000090006
0.0592	ENSG00000105245
0.7671	ENSG00000123815
0.096	ENSG00000086544
0.1499	ENSG00000188493
0.7685	ENSG00000077312
0.9833	ENSG00000167578
0.0498	ENSG00000167600
0.2489	ENSG00000167601
0.9315	ENSG00000105323
0.2251	ENSG00000105329
0.264	ENSG00000142039
0.1202	ENSG00000142046
0.0644	ENSG00000123810
0.0172	ENSG00000077348
0.0225	ENSG00000248098
0.6382	ENSG00000105341
0.7974	ENSG00000267107
