gene	Chimp.Mean.Expression	Chimp.Overdispersion	Chimp.theta.se	Chimp.Mean.Log2RPKM	Human.Mean.Expression	Human.Overdispersion	Human.theta.se	Human.Mean.Log2RPKM	Chimp.Residual	Human.Residual	Chimp.Dispersion	Human.Dispersion
ENSG00000005812	-17.912315908261	0.0878766279195688	2.56279870709206	4.01590718354099	-18.0818689791917	0.0694515913791619	3.28194170498091	3.72383263685771	-0.150866051720376	-0.333341736346433	-2.10997367750863	-2.40544025456914
ENSG00000005810	-19.3525149217907	0.0538876549203523	4.22160454241433	1.96356139939282	-19.2229759041851	0.0612775315595829	3.70044272104933	2.08311572197899	-1.00837172033412	-0.651740946647004	-2.96747934612237	-2.72383946486972
ENSG00000139737	-19.5917566037495	0.105742526010448	2.21835627631817	1.57321250054914	-20.1443229234855	0.0867813194614467	2.79507010332193	0.736133002766635	-0.439164366441493	-0.691492573614119	-2.39827199222974	-2.76359109183683
ENSG00000136160	-18.8051213663897	0.326732124868449	0.660871648343079	2.54420958275774	-18.0970265418849	0.254995089320573	0.855423596621589	3.56072351757127	0.991789572965079	0.966017318904268	-0.967318052823172	-1.10608119931844
ENSG00000152193	-19.1529327716008	0.135110025123483	1.69143158665106	2.19184865503372	-19.2551853784068	0.0508997763490131	4.92492777364941	2.04441548221945	-0.00875861010642742	-0.847180230174126	-1.96786623589468	-2.91927874839684
ENSG00000139746	-19.0577569989185	0.0909464579906875	2.47600694202898	2.36182231032641	-19.0011085295086	0.0297271372173368	7.84860153391354	2.42688087285653	-0.369302932746303	-1.3184971082873	-2.32841055853455	-3.39059562651002
ENSG00000102471	-18.3586794093714	0.0482627998483072	4.7305887402231	3.40009985780183	-18.6252958487352	0.101636767721452	2.21775983004374	2.91526310599803	-0.812499869686626	-0.0144111003502245	-2.77160749547488	-2.08650961857294
ENSG00000136158	-17.7711907228281	0.0810588695071757	2.77825708487604	4.22512007002379	-17.6410758394259	0.0621231378292922	3.65272144937768	4.36521366271937	-0.225009837453046	-0.439483461896348	-2.1841174632413	-2.51158198011906
ENSG00000184564	-21.9449187289306	0.685525447736676	0.313591334976784	-2.28310586118121	-22.0493722872306	1.06499568750887	0.196272126971452	-2.83387004581044	0.12946413497821	0.874358809740067	-1.82964349081004	-1.19773970848264
ENSG00000165300	-22.5941756604766	0.617164435743645	0.342147938256059	-3.16089787241404	-24.2690453894032	0.460218583437454	0.553466447619522	-5.53903732409255	-0.286276813366758	-0.634146473656268	-2.24538443915501	-2.70624499187898
ENSG00000183098	-20.6561001838099	0.709260279646855	0.291734995934276	-0.446734245091072	-21.083519046366	0.61634572570151	0.342648936313488	-1.04539538516758	0.868753666450217	0.760687967099738	-1.09035395933803	-1.31141055112297
ENSG00000080166	-21.7863295859075	0.449259204060454	0.489179158138704	-1.85854186462655	-23.7270947428483	0.530019059146538	0.496145297574186	-4.80775414634938	-0.213211667841971	-0.360739145492034	-2.17231929363022	-2.43283766371475
ENSG00000088451	-18.7098564469131	0.0661862248164005	3.4718144864317	2.88252778942954	-19.7265048652902	0.068942760676169	3.60586206995227	1.352537334402	-0.577084866971121	-0.716550193213386	-2.53619249275937	-2.7886487114361
