Gene stable ID	Transcript stable ID	Gene name	Source of gene name
ENSPTRG00000014272	ENSPTRT00000026668	DRG1	VGNC Symbol
ENSPTRG00000052649	ENSPTRT00000103676		
ENSPTRG00000001280	ENSPTRT00000002373	TMOD4	VGNC Symbol
ENSPTRG00000011210	ENSPTRT00000020832	KPTN	VGNC Symbol
ENSPTRG00000021630	ENSPTRT00000040102	ARSH	VGNC Symbol
ENSPTRG00000044915	ENSPTRT00000077748		
ENSPTRG00000005519	ENSPTRT00000010132	CCDC60	VGNC Symbol
ENSPTRG00000005519	ENSPTRT00000111056	CCDC60	VGNC Symbol
ENSPTRG00000006714	ENSPTRT00000091750	EML1	VGNC Symbol
ENSPTRG00000006714	ENSPTRT00000012363	EML1	VGNC Symbol
ENSPTRG00000006714	ENSPTRT00000079642	EML1	VGNC Symbol
ENSPTRG00000043390	ENSPTRT00000093726		
ENSPTRG00000017210	ENSPTRT00000110035	ACSL6	VGNC Symbol
ENSPTRG00000017210	ENSPTRT00000097874	ACSL6	VGNC Symbol
ENSPTRG00000017210	ENSPTRT00000110635	ACSL6	VGNC Symbol
ENSPTRG00000017210	ENSPTRT00000083529	ACSL6	VGNC Symbol
ENSPTRG00000017210	ENSPTRT00000077790	ACSL6	VGNC Symbol
ENSPTRG00000017210	ENSPTRT00000045193	ACSL6	VGNC Symbol
ENSPTRG00000000493	ENSPTRT00000073759	FNDC5	VGNC Symbol
ENSPTRG00000000493	ENSPTRT00000000958	FNDC5	VGNC Symbol
ENSPTRG00000020672	ENSPTRT00000092373	PLEC	VGNC Symbol
ENSPTRG00000020672	ENSPTRT00000084157	PLEC	VGNC Symbol
ENSPTRG00000020672	ENSPTRT00000091956	PLEC	VGNC Symbol
ENSPTRG00000020672	ENSPTRT00000038241	PLEC	VGNC Symbol
ENSPTRG00000020672	ENSPTRT00000100244	PLEC	VGNC Symbol
ENSPTRG00000020672	ENSPTRT00000081093	PLEC	VGNC Symbol
ENSPTRG00000020672	ENSPTRT00000104476	PLEC	VGNC Symbol
ENSPTRG00000020672	ENSPTRT00000103822	PLEC	VGNC Symbol
ENSPTRG00000047298	ENSPTRT00000095696		
ENSPTRG00000047298	ENSPTRT00000108615		
ENSPTRG00000034481	ENSPTRT00000064327	NHEJ1	VGNC Symbol
ENSPTRG00000034481	ENSPTRT00000088485	NHEJ1	VGNC Symbol
ENSPTRG00000010025	ENSPTRT00000018398	MRO	VGNC Symbol
ENSPTRG00000011524	ENSPTRT00000021474	EPN1	VGNC Symbol
ENSPTRG00000011524	ENSPTRT00000080795	EPN1	VGNC Symbol
ENSPTRG00000015966	ENSPTRT00000090750	SEL1L3	VGNC Symbol
ENSPTRG00000015966	ENSPTRT00000029790	SEL1L3	VGNC Symbol
ENSPTRG00000015966	ENSPTRT00000084662	SEL1L3	VGNC Symbol
ENSPTRG00000004256	ENSPTRT00000007936	DDX10	VGNC Symbol
ENSPTRG00000052658	ENSPTRT00000102130		
ENSPTRG00000014513	ENSPTRT00000027139	GRAMD4	VGNC Symbol
ENSPTRG00000014513	ENSPTRT00000103314	GRAMD4	VGNC Symbol
ENSPTRG00000014513	ENSPTRT00000099827	GRAMD4	VGNC Symbol
ENSPTRG00000024398	ENSPTRT00000088258	IDH3G	VGNC Symbol
ENSPTRG00000024398	ENSPTRT00000065447	IDH3G	VGNC Symbol
ENSPTRG00000048369	ENSPTRT00000078471		
ENSPTRG00000016783	ENSPTRT00000031156	RAD1	VGNC Symbol
ENSPTRG00000016783	ENSPTRT00000031157	RAD1	VGNC Symbol
ENSPTRG00000019274	ENSPTRT00000035632	MLXIPL	VGNC Symbol
ENSPTRG00000019274	ENSPTRT00000090357	MLXIPL	VGNC Symbol
ENSPTRG00000019274	ENSPTRT00000099896	MLXIPL	VGNC Symbol
ENSPTRG00000005162	ENSPTRT00000100039	FAM19A2	VGNC Symbol
ENSPTRG00000005162	ENSPTRT00000075525	FAM19A2	VGNC Symbol
ENSPTRG00000016249	ENSPTRT00000030243	PTPN13	VGNC Symbol
ENSPTRG00000016249	ENSPTRT00000093172	PTPN13	VGNC Symbol
ENSPTRG00000016249	ENSPTRT00000103667	PTPN13	VGNC Symbol
ENSPTRG00000016249	ENSPTRT00000082901	PTPN13	VGNC Symbol
ENSPTRG00000016249	ENSPTRT00000088638	PTPN13	VGNC Symbol
ENSPTRG00000020192	ENSPTRT00000037411	SFRP1	VGNC Symbol
ENSPTRG00000020192	ENSPTRT00000097077	SFRP1	VGNC Symbol
ENSPTRG00000049706	ENSPTRT00000104183		
ENSPTRG00000001392	ENSPTRT00000081347	KCNN3	VGNC Symbol
ENSPTRG00000001392	ENSPTRT00000045269	KCNN3	VGNC Symbol
ENSPTRG00000001392	ENSPTRT00000096130	KCNN3	VGNC Symbol
ENSPTRG00000009532	ENSPTRT00000017486	SCN4A	VGNC Symbol
ENSPTRG00000046526	ENSPTRT00000107835	KRT8	VGNC Symbol
ENSPTRG00000017004	ENSPTRT00000031524	F2R	VGNC Symbol
ENSPTRG00000017004	ENSPTRT00000066945	F2R	VGNC Symbol
ENSPTRG00000020217	ENSPTRT00000087763	HGSNAT	VGNC Symbol
ENSPTRG00000020217	ENSPTRT00000037468	HGSNAT	VGNC Symbol
ENSPTRG00000020217	ENSPTRT00000110253	HGSNAT	VGNC Symbol
ENSPTRG00000014367	ENSPTRT00000026854	KDELR3	VGNC Symbol
ENSPTRG00000023739	ENSPTRT00000046941	NUP62CL	HGNC Symbol
ENSPTRG00000020302	ENSPTRT00000107275	TRIM55	VGNC Symbol
ENSPTRG00000020302	ENSPTRT00000098108	TRIM55	VGNC Symbol
ENSPTRG00000020302	ENSPTRT00000037598	TRIM55	VGNC Symbol
ENSPTRG00000020302	ENSPTRT00000086349	TRIM55	VGNC Symbol
ENSPTRG00000020302	ENSPTRT00000094970	TRIM55	VGNC Symbol
ENSPTRG00000020302	ENSPTRT00000097436	TRIM55	VGNC Symbol
ENSPTRG00000011976	ENSPTRT00000065370	UGP2	VGNC Symbol
ENSPTRG00000011976	ENSPTRT00000107542	UGP2	VGNC Symbol
ENSPTRG00000011976	ENSPTRT00000088643	UGP2	VGNC Symbol
ENSPTRG00000011976	ENSPTRT00000107484	UGP2	VGNC Symbol
ENSPTRG00000011976	ENSPTRT00000099157	UGP2	VGNC Symbol
ENSPTRG00000011976	ENSPTRT00000086961	UGP2	VGNC Symbol
ENSPTRG00000011976	ENSPTRT00000078539	UGP2	VGNC Symbol
ENSPTRG00000011976	ENSPTRT00000093684	UGP2	VGNC Symbol
ENSPTRG00000011976	ENSPTRT00000098765	UGP2	VGNC Symbol
ENSPTRG00000011976	ENSPTRT00000096087	UGP2	VGNC Symbol
ENSPTRG00000023652	ENSPTRT00000044849	IPO9	VGNC Symbol
ENSPTRG00000011323	ENSPTRT00000091593	PNKP	VGNC Symbol
ENSPTRG00000011323	ENSPTRT00000077947	PNKP	VGNC Symbol
ENSPTRG00000011323	ENSPTRT00000106888	PNKP	VGNC Symbol
ENSPTRG00000011323	ENSPTRT00000021054	PNKP	VGNC Symbol
ENSPTRG00000011323	ENSPTRT00000081459	PNKP	VGNC Symbol
ENSPTRG00000011323	ENSPTRT00000101906	PNKP	VGNC Symbol
ENSPTRG00000048933	ENSPTRT00000061997	TRIM51GP	HGNC Symbol
ENSPTRG00000039291	ENSPTRT00000075620	EBF4	VGNC Symbol
ENSPTRG00000039291	ENSPTRT00000089618	EBF4	VGNC Symbol
ENSPTRG00000044046	ENSPTRT00000105387	B9D2	VGNC Symbol
ENSPTRG00000044046	ENSPTRT00000083476	B9D2	VGNC Symbol
ENSPTRG00000017437	ENSPTRT00000032246	ATOX1	VGNC Symbol
ENSPTRG00000017437	ENSPTRT00000111314	ATOX1	VGNC Symbol
ENSPTRG00000001102	ENSPTRT00000105147	RAP1A	VGNC Symbol
ENSPTRG00000001102	ENSPTRT00000002072	RAP1A	VGNC Symbol
ENSPTRG00000001102	ENSPTRT00000095735	RAP1A	VGNC Symbol
ENSPTRG00000001102	ENSPTRT00000090745	RAP1A	VGNC Symbol
ENSPTRG00000000777	ENSPTRT00000085505	TTC22	VGNC Symbol
ENSPTRG00000000777	ENSPTRT00000001478	TTC22	VGNC Symbol
ENSPTRG00000012619	ENSPTRT00000023374	KLHL23	VGNC Symbol
ENSPTRG00000045587	ENSPTRT00000080396	TLE7	HGNC Symbol
ENSPTRG00000045587	ENSPTRT00000094928	TLE7	HGNC Symbol
ENSPTRG00000046424	ENSPTRT00000106776		
ENSPTRG00000016666	ENSPTRT00000100685	FAT1	VGNC Symbol
ENSPTRG00000016666	ENSPTRT00000030946	FAT1	VGNC Symbol
ENSPTRG00000016666	ENSPTRT00000099225	FAT1	VGNC Symbol
ENSPTRG00000021220	ENSPTRT00000093546	SLC44A1	VGNC Symbol
ENSPTRG00000021220	ENSPTRT00000108039	SLC44A1	VGNC Symbol
ENSPTRG00000021220	ENSPTRT00000056387	SLC44A1	VGNC Symbol
ENSPTRG00000021220	ENSPTRT00000085738	SLC44A1	VGNC Symbol
ENSPTRG00000021220	ENSPTRT00000086211	SLC44A1	VGNC Symbol
ENSPTRG00000001574	ENSPTRT00000099886	PPOX	VGNC Symbol
ENSPTRG00000001574	ENSPTRT00000101131	PPOX	VGNC Symbol
ENSPTRG00000001574	ENSPTRT00000002874	PPOX	VGNC Symbol
ENSPTRG00000001574	ENSPTRT00000094983	PPOX	VGNC Symbol
ENSPTRG00000001574	ENSPTRT00000084832	PPOX	VGNC Symbol
ENSPTRG00000004036	ENSPTRT00000007523	PDE2A	VGNC Symbol
ENSPTRG00000004036	ENSPTRT00000080623	PDE2A	VGNC Symbol
