Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
SRR603918	83.7	9726755.0	66497.0	1.43	1.52	9.58	74.76	0.01	0.45	75.0	7880.0	9651622.0	9641238.0	41385038.0	25927.0	0	0.0	49442771.0	19792	0.0	0.04	6.62	3271853.0	11140.0	4740161	0.05
SRR603968	55.15	3147580.0	17821.0	1.28	1.22	36.01	74.63	0.01	0.77	75.0	2101.0	3108080.0	3119063.0	52377157.0	21506.0	0	0.0	94971613.0	28485	0.0	0.03	8.79	8352420.0	8595.0	34192045	0.02
SRR604122	80.83	7811407.0	67592.0	1.37	1.41	11.39	74.78	0.01	0.41	75.0	5338.0	7751516.0	7727597.0	39450541.0	18720.0	0	0.0	48805844.0	19510	0.0	0.04	7.71	3761690.0	10880.0	5555383	0.04
SRR604174	82.82	13106289.0	82536.0	1.37	1.42	9.07	74.72	0.01	0.69	75.0	8497.0	12999238.0	12997609.0	78525367.0	50531.0	0	0.0	94820015.0	47434	0.0	0.05	8.01	7592186.0	17647.0	8604497	0.05
SRR604206	58.08	5129063.0	40871.0	1.35	1.42	36.25	74.78	0.01	0.48	75.0	3055.0	5087344.0	5077126.0	28529598.0	14133.0	0	0.0	49122118.0	14738	0.0	0.03	5.61	2755440.0	8011.0	17808209	0.03
SRR604230	81.16	12171625.0	101355.0	1.36	1.4	10.15	74.74	0.01	0.68	75.0	7877.0	12074890.0	12044602.0	63618798.0	29383.0	0	0.0	78388825.0	31372	0.0	0.04	8.61	6748727.0	17791.0	7960545	0.04
SRR606939	84.87	14824800.0	132803.0	1.36	1.42	5.79	74.73	0.01	0.7	75.0	8142.0	14704819.0	14661452.0	80587655.0	40755.0	0	0.0	94953765.0	47448	0.0	0.05	9.25	8783396.0	22403.0	5494511	0.04
SRR607252	78.46	8009902.0	66027.0	1.34	1.39	15.06	74.77	0.01	0.4	75.0	4647.0	7952595.0	7929277.0	36564822.0	16443.0	0	0.0	46604485.0	13989	0.0	0.03	6.41	2986947.0	9951.0	7022284	0.04
SRR607313	85.98	11334967.0	105590.0	1.23	1.42	6.02	74.77	0.01	0.51	75.0	5990.0	11252197.0	11208622.0	52611016.0	25651.0	0	0.0	61189969.0	24462	0.0	0.04	7.92	4847382.0	14765.0	3681458	0.04
SRR607970	21.05	6917239.0	67990.0	1.36	1.37	76.51	74.44	0.01	0.98	75.0	3727.0	6858594.0	6834003.0	37273184.0	16687.0	0	0.0	177049043.0	159328	0.0	0.09	2.35	4153654.0	11519.0	135446190	0.01
SRR608096	78.03	7901233.0	45426.0	1.36	1.39	14.82	74.73	0.01	0.55	75.0	4414.0	7827134.0	7836040.0	45636052.0	33754.0	0	0.0	58482196.0	29231	0.0	0.05	7.04	4118966.0	15353.0	8664193	0.06
SRR608480	13.94	4724090.0	41113.0	1.38	1.34	84.5	74.41	0.01	0.97	75.0	2735.0	4686943.0	4673438.0	23949665.0	9949.0	0	0.0	171814525.0	137452	0.0	0.08	1.47	2533686.0	6804.0	145183773	0.01
SRR612335	79.5	9761644.0	76784.0	1.38	1.44	14.02	74.61	0.01	0.55	75.0	6453.0	9687840.0	9667374.0	44059888.0	28471.0	0	0.0	55418848.0	22165	0.0	0.04	6.39	3539575.0	11033.0	7768749	0.05
SRR612719	11.7	765397.0	5488.0	1.32	1.39	86.86	74.57	0.01	0.68	75.0	393.0	757129.0	758365.0	4822708.0	3170.0	0	0.0	41223773.0	4123	0.0	0.01	1.42	583967.0	1151.0	35809805	0.01
SRR612875	68.05	6284291.0	51611.0	1.48	1.42	25.94	74.26	0.01	0.97	75.0	4022.0	6225624.0	6220036.0	33412297.0	25008.0	0	0.0	49096128.0	14731	0.0	0.03	5.92	2906311.0	8622.0	12737781	0.05
SRR613186	79.88	2120299.0	11064.0	1.49	1.18	7.13	74.77	0.01	0.32	75.0	1176.0	2091799.0	2101888.0	34838229.0	21427.0	0	0.0	43612876.0	13085	0.0	0.03	12.91	5630245.0	6171.0	3109890	0.05
SRR614683	80.06	6444983.0	60893.0	1.41	1.41	12.32	74.77	0.01	0.28	75.0	3498.0	6390308.0	6371137.0	34558231.0	23954.0	0	0.0	43163039.0	25894	0.0	0.06	7.5	3238106.0	9455.0	5316854	0.06
SRR614996	61.23	5316154.0	40710.0	1.35	1.36	32.5	74.76	0.01	0.4	75.0	2805.0	5269375.0	5265099.0	30051515.0	30077.0	0	0.0	49082099.0	19629	0.0	0.04	6.18	3032437.0	7540.0	15948441	0.06
SRR615970	52.42	2032000.0	11811.0	1.28	1.28	37.25	74.61	0.01	0.68	75.0	1310.0	2005377.0	2013958.0	33467127.0	16239.0	0	0.0	63846804.0	19152	0.0	0.03	10.28	6563909.0	4921.0	23780377	0.03
